season,height,position,stat,value
2001,73.0,Guard,minutes,544.805
2001,73.0,Guard,usage,0.0
2001,73.0,Guard,count,1.0
2001,73.0,Guard,avg_pick,2000.0
2001,74.0,Guard,minutes,628.5383333333333
2001,74.0,Guard,usage,0.0
2001,74.0,Guard,count,1.0
2001,74.0,Guard,avg_pick,2000.0
2001,77.0,Guard,minutes,3944.0616666666674
2001,77.0,Guard,usage,0.0
2001,77.0,Guard,count,3.0
2001,77.0,Guard,avg_pick,2000.0
2001,78.0,Forward,minutes,1356.0533333333333
2001,78.0,Forward,usage,0.0
2001,78.0,Forward,count,1.0
2001,78.0,Forward,avg_pick,2000.0
2001,79.0,Guard,minutes,1810.575
2001,79.0,Guard,usage,0.0
2001,79.0,Guard,count,1.0
2001,79.0,Guard,avg_pick,2000.0
2001,80.0,Guard-Forward,minutes,2388.935
2001,80.0,Guard-Forward,usage,0.0
2001,80.0,Guard-Forward,count,1.0
2001,80.0,Guard-Forward,avg_pick,2000.0
2001,81.0,Forward,minutes,5049.365
2001,81.0,Forward,usage,0.0
2001,81.0,Forward,count,3.0
2001,81.0,Forward,avg_pick,2000.0
2001,81.0,Forward-Guard,minutes,1309.915
2001,81.0,Forward-Guard,usage,0.0
2001,81.0,Forward-Guard,count,1.0
2001,81.0,Forward-Guard,avg_pick,2000.0
2001,82.0,Forward-Center,minutes,1313.22
2001,82.0,Forward-Center,usage,0.0
2001,82.0,Forward-Center,count,1.0
2001,82.0,Forward-Center,avg_pick,2000.0
2002,74.0,Guard,minutes,2831.036666666667
2002,74.0,Guard,usage,0.0
2002,74.0,Guard,count,2.0
2002,74.0,Guard,avg_pick,2001.0
2002,75.0,Guard,minutes,2443.415
2002,75.0,Guard,usage,0.0
2002,75.0,Guard,count,1.0
2002,75.0,Guard,avg_pick,2001.0
2002,77.0,Forward-Guard,minutes,2235.5783333333334
2002,77.0,Forward-Guard,usage,0.0
2002,77.0,Forward-Guard,count,1.0
2002,77.0,Forward-Guard,avg_pick,2001.0
2002,78.0,Forward,minutes,339.69666666666666
2002,78.0,Forward,usage,0.0
2002,78.0,Forward,count,1.0
2002,78.0,Forward,avg_pick,2001.0
2002,78.0,Guard,minutes,2627.845
2002,78.0,Guard,usage,0.0
2002,78.0,Guard,count,1.0
2002,78.0,Guard,avg_pick,2001.0
2002,79.0,Forward,minutes,2351.14
2002,79.0,Forward,usage,0.0
2002,79.0,Forward,count,2.0
2002,79.0,Forward,avg_pick,2001.0
2002,79.0,Guard-Forward,minutes,1916.736666666667
2002,79.0,Guard-Forward,usage,0.0
2002,79.0,Guard-Forward,count,1.0
2002,79.0,Guard-Forward,avg_pick,2001.0
2002,80.0,Forward,minutes,3098.1
2002,80.0,Forward,usage,0.0
2002,80.0,Forward,count,1.0
2002,80.0,Forward,avg_pick,2001.0
2002,81.0,Forward,minutes,1895.4766666666667
2002,81.0,Forward,usage,0.0
2002,81.0,Forward,count,1.0
2002,81.0,Forward,avg_pick,2001.0
2002,83.0,Center,minutes,1444.6616666666666
2002,83.0,Center,usage,0.0
2002,83.0,Center,count,1.0
2002,83.0,Center,avg_pick,2001.0
2002,83.0,Forward-Center,minutes,1450.3916666666669
2002,83.0,Forward-Center,usage,0.0
2002,83.0,Forward-Center,count,1.0
2002,83.0,Forward-Center,avg_pick,2001.0
2002,84.0,Center,minutes,3309.9716666666664
2002,84.0,Center,usage,0.0
2002,84.0,Center,count,3.0
2002,84.0,Center,avg_pick,2001.0
2002,84.0,Center-Forward,minutes,3001.866666666667
2002,84.0,Center-Forward,usage,0.0
2002,84.0,Center-Forward,count,1.0
2002,84.0,Center-Forward,avg_pick,2001.0
2002,86.0,Center,minutes,515.7033333333334
2002,86.0,Center,usage,0.0
2002,86.0,Center,count,1.0
2002,86.0,Center,avg_pick,2001.0
2003,74.0,Guard,minutes,1961.19
2003,74.0,Guard,usage,0.0
2003,74.0,Guard,count,1.0
2003,74.0,Guard,avg_pick,2002.0
2003,75.0,Guard,minutes,1384.9083333333333
2003,75.0,Guard,usage,0.0
2003,75.0,Guard,count,1.0
2003,75.0,Guard,avg_pick,2002.0
2003,78.0,Guard,minutes,874.7516666666667
2003,78.0,Guard,usage,0.0
2003,78.0,Guard,count,1.0
2003,78.0,Guard,avg_pick,2002.0
2003,79.0,Forward,minutes,5750.199999999999
2003,79.0,Forward,usage,0.0
2003,79.0,Forward,count,3.0
2003,79.0,Forward,avg_pick,2002.0
2003,80.0,Forward,minutes,683.6466666666666
2003,80.0,Forward,usage,0.0
2003,80.0,Forward,count,1.0
2003,80.0,Forward,avg_pick,2002.0
2003,80.0,Forward-Guard,minutes,334.9783333333333
2003,80.0,Forward-Guard,usage,0.0
2003,80.0,Forward-Guard,count,1.0
2003,80.0,Forward-Guard,avg_pick,2002.0
2003,81.0,Forward,minutes,2047.9583333333333
2003,81.0,Forward,usage,0.0
2003,81.0,Forward,count,1.0
2003,81.0,Forward,avg_pick,2002.0
2003,82.0,Center-Forward,minutes,802.9716666666667
2003,82.0,Center-Forward,usage,0.0
2003,82.0,Center-Forward,count,1.0
2003,82.0,Center-Forward,avg_pick,2002.0
2003,82.0,Forward,minutes,1875.57
2003,82.0,Forward,usage,0.0
2003,82.0,Forward,count,1.0
2003,82.0,Forward,avg_pick,2002.0
2003,82.0,Forward-Center,minutes,2569.938333333333
2003,82.0,Forward-Center,usage,0.0
2003,82.0,Forward-Center,count,1.0
2003,82.0,Forward-Center,avg_pick,2002.0
2003,83.0,Center,minutes,759.3583333333333
2003,83.0,Center,usage,0.0
2003,83.0,Center,count,1.0
2003,83.0,Center,avg_pick,2002.0
2003,83.0,Center-Forward,minutes,2258.3283333333334
2003,83.0,Center-Forward,usage,0.0
2003,83.0,Center-Forward,count,1.0
2003,83.0,Center-Forward,avg_pick,2002.0
2003,84.0,Forward,minutes,1319.9883333333332
2003,84.0,Forward,usage,0.0
2003,84.0,Forward,count,1.0
2003,84.0,Forward,avg_pick,2002.0
2003,90.0,Center,minutes,2381.893333333333
2003,90.0,Center,usage,0.0
2003,90.0,Center,count,1.0
2003,90.0,Center,avg_pick,2002.0
2004,72.0,Guard,minutes,1484.0883333333334
2004,72.0,Guard,usage,0.0
2004,72.0,Guard,count,1.0
2004,72.0,Guard,avg_pick,2003.0
2004,74.0,Guard,minutes,1377.5166666666669
2004,74.0,Guard,usage,0.0
2004,74.0,Guard,count,1.0
2004,74.0,Guard,avg_pick,2003.0
2004,75.0,Guard,minutes,3655.31
2004,75.0,Guard,usage,0.0
2004,75.0,Guard,count,3.0
2004,75.0,Guard,avg_pick,2003.0
2004,76.0,Guard,minutes,4845.118333333333
2004,76.0,Guard,usage,0.0
2004,76.0,Guard,count,2.0
2004,76.0,Guard,avg_pick,2003.0
2004,77.0,Guard-Forward,minutes,1786.045
2004,77.0,Guard-Forward,usage,0.0
2004,77.0,Guard-Forward,count,1.0
2004,77.0,Guard-Forward,avg_pick,2003.0
2004,79.0,Forward,minutes,2991.2316666666666
2004,79.0,Forward,usage,0.0
2004,79.0,Forward,count,1.0
2004,79.0,Forward,avg_pick,2003.0
2004,79.0,Forward-Guard,minutes,1586.435
2004,79.0,Forward-Guard,usage,0.0
2004,79.0,Forward-Guard,count,1.0
2004,79.0,Forward-Guard,avg_pick,2003.0
2004,79.0,Guard-Forward,minutes,1136.5083333333334
2004,79.0,Guard-Forward,usage,0.0
2004,79.0,Guard-Forward,count,1.0
2004,79.0,Guard-Forward,avg_pick,2003.0
