Rk,Player,PTS/100 Poss.,MP/G,G,USG%,TS%,Season,Team,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Class,Player-additional
107,Johni Broome,31.9,25.8,30,27.7,.583,2020-21,Morehead State,30,27,4.4,112,88,2.3,2.1,.226,2.6,1.5,4.2,29.2,14.7,26.2,20.8,6.7,1.4,8.5,13.8,27.7,F,FR,johni-broome-1
108,Nick Muszynski,31.8,24.9,32,25.4,.638,2018-19,Belmont,32,32,4.7,124,96,3.1,1.6,.236,4.6,3.3,7.9,29.4,5.9,18.6,12.6,20.4,1.3,8.5,11.9,25.4,C,FR,nick-muszynski-1
109,David Collette,31.8,25.5,31,26.5,.600,2014-15,Utah State,31,31,4.0,116,96,2.5,1.5,.200,2.7,3.0,5.7,26.6,7.6,14.9,11.6,12.7,2.0,7.8,9.8,26.5,F,FR,david-collette-1
110,Christian Keeling,31.8,31.2,31,27.7,.549,2016-17,Charleston Southern,31,28,3.6,113,107,2.6,1.0,.150,3.5,-2.2,1.3,23.4,4.5,22.7,13.0,9.5,1.7,1.1,9.8,27.7,G,FR,christian-keeling-1
111,Desmond Cambridge Jr.,31.8,30.0,27,28.7,.522,2017-18,Brown,27,27,2.5,109,107,1.7,0.9,.126,3.0,-0.9,2.1,19.7,3.3,14.3,8.5,9.4,2.0,3.7,8.0,28.7,G,FR,desmond-cambridge-2
112,Blake Harper,31.7,34.4,32,27.6,.585,2024-25,Howard,32,32,4.1,118,112,3.2,0.9,.151,1.5,-2.8,-1.2,20.0,3.5,17.3,10.6,20.1,1.6,0.1,13.9,27.6,G,FR,blake-harper-1
113,Brandon Miller,31.7,32.6,37,26.2,.583,2022-23,Alabama,37,37,7.0,120,92,4.1,2.9,.230,7.8,4.3,12.0,23.4,6.7,17.7,12.6,12.9,1.5,2.4,12.0,26.2,F,FR,brandon-miller-3
114,Braden Frager,31.7,22.4,19,22.7,.672,2025-26,Nebraska,19,1,2.4,132,99,1.4,0.9,.223,6.4,2.8,9.2,22.3,5.7,14.0,10.0,7.6,1.5,0.6,7.5,22.7,F,FR,braden-frager-1
115,K.D. Johnson,31.7,22.5,16,30.1,.529,2020-21,Georgia,16,0,1.1,102,100,0.6,0.5,.126,2.6,2.2,4.8,19.0,3.3,10.0,6.7,10.3,4.3,0.9,14.3,30.1,G,FR,kd-johnson-1
116,R.J. Hunter,31.7,33.5,31,26.8,.570,2012-13,Georgia State,31,31,4.6,116,102,3.5,1.1,.177,5.7,-0.1,5.6,25.5,3.5,16.9,9.8,13.1,3.2,3.2,10.1,26.8,G,FR,rj-hunter-1
117,Kyle Filipowski,31.7,29.1,36,29.6,.533,2022-23,Duke,36,36,4.8,108,92,2.3,2.5,.185,4.0,3.4,7.5,23.2,10.3,24.8,17.8,11.4,2.7,2.7,15.0,29.6,C,FR,kyle-filipowski-1
118,Keyonte George,31.6,28.6,33,30.8,.524,2022-23,Baylor,33,33,2.9,105,105,1.8,1.1,.125,4.5,1.1,5.6,17.8,4.2,13.6,8.8,20.1,2.3,0.7,16.4,30.8,G,FR,keyonte-george-1
119,Cleveland Melvin,31.6,26.2,27,28.0,.544,2010-11,DePaul,27,18,2.0,107,109,1.6,0.4,.112,4.6,0.0,4.6,24.4,9.4,13.3,11.2,7.1,2.1,5.3,10.4,28.0,F,FR,cleveland-melvin-1
120,Desmar Jackson,31.6,20.7,31,31.1,.563,2009-10,Wyoming,31,12,1.7,99,103,0.9,0.7,.105,,,,20.5,5.0,7.6,6.3,23.7,3.8,1.7,20.9,31.1,G,FR,desmar-jackson-1
121,Jaylen Franklin,31.6,29.4,30,30.6,.551,2015-16,Abilene Christian,30,23,2.6,103,104,1.4,1.1,.117,-0.6,-1.6,-2.1,20.6,3.1,13.2,8.1,22.2,3.4,0.5,16.2,30.6,G,FR,jaylen-franklin-1
122,Michael Cooper,31.6,27.6,17,26.4,.561,2025-26,Wright State,17,14,1.9,121,109,1.3,0.6,.163,3.8,-0.6,3.2,20.1,2.6,11.4,7.1,16.8,1.9,0.9,8.1,26.4,G,FR,michael-cooper-4
123,Kendall Anthony,31.6,25.5,32,27.7,.570,2011-12,Richmond,32,1,2.4,110,112,2.2,0.2,.118,4.4,-1.8,2.6,18.9,2.2,4.5,3.3,16.2,1.6,0.0,12.5,27.7,G,FR,kendall-anthony-1
124,Jordan Dykstra,31.5,20.7,31,23.5,.656,2010-11,South Dakota State,31,17,3.4,128,103,2.7,0.7,.213,6.3,0.0,6.3,27.9,7.9,20.6,14.0,12.0,2.1,2.7,13.0,23.5,F,FR,jordan-dykstra-1
125,Luka Garza,31.5,21.7,33,24.4,.613,2017-18,Iowa,33,26,3.4,127,109,2.7,0.6,.188,6.0,-0.5,5.5,26.6,12.8,20.4,16.7,9.7,0.9,4.6,9.7,24.4,F,FR,luka-garza-1
126,Four McGlynn,31.4,24.2,36,27.9,.545,2011-12,Vermont,36,1,3.2,109,102,2.2,1.0,.148,2.6,-1.2,1.3,17.9,1.7,7.1,4.4,11.2,1.7,0.3,12.0,27.9,G,FR,four-mcglynn-1
127,Tariq Francis,31.3,27.5,27,30.2,.505,2023-24,NJIT,27,11,1.8,104,110,1.2,0.7,.099,2.7,-1.6,1.2,19.1,4.4,12.5,8.2,23.6,3.1,0.4,12.0,30.2,G,FR,tariq-francis-1
128,Nigel James Jr.,31.3,27.8,22,28.2,.562,2025-26,Marquette,22,19,2.0,112,110,1.2,0.7,.128,5.0,2.4,7.4,21.0,2.4,10.0,6.0,37.1,3.4,1.1,15.2,28.2,G,FR,nigel-james-jr-1
129,James Blackmon,31.3,30.0,33,26.9,.548,2014-15,Indiana,33,33,3.8,117,109,3.1,0.6,.152,6.0,-1.1,4.9,21.2,6.3,14.3,10.4,10.2,1.3,0.2,10.1,26.9,G,FR,james-blackmon-1
130,Cameron Tyson,31.3,25.4,32,26.5,.597,2018-19,Idaho,32,31,1.6,109,118,1.7,-0.1,.080,2.6,-4.9,-2.3,17.2,1.8,6.8,4.4,6.9,1.1,0.4,11.5,26.5,G,FR,cameron-tyson-1
131,Tobias Harris,31.3,29.2,34,27.2,.540,2010-11,Tennessee,34,33,4.4,113,99,2.9,1.5,.177,5.5,1.8,7.3,23.8,7.5,20.6,14.0,10.4,1.4,3.4,11.4,27.2,F,FR,tobias-harris-1
132,Preston Parks,31.3,27.1,31,29.1,.531,2016-17,The Citadel,31,9,2.1,108,114,1.9,0.3,.102,4.1,-2.4,1.7,20.7,3.2,8.4,5.6,26.8,3.5,0.6,13.2,29.1,G,FR,preston-parks-1
133,Adrian Wooley,31.2,33.5,33,25.6,.636,2024-25,Kennesaw State,33,32,4.9,119,104,3.2,1.7,.176,3.8,0.9,4.7,21.3,4.3,12.5,8.5,23.4,2.4,0.3,18.3,25.6,G,FR,adrian-wooley-1
134,Jared Brownridge,31.2,33.5,33,24.2,.614,2013-14,Santa Clara,33,33,4.3,123,113,3.7,0.6,.154,4.7,-1.1,3.6,20.9,1.1,8.3,4.6,16.0,1.3,0.4,9.4,24.2,G,FR,jared-brownridge-1
135,Isaiah Collier,31.2,30.0,27,29.7,.567,2023-24,Southern California,27,26,2.2,106,109,1.4,0.8,.110,3.2,1.0,4.2,19.3,2.5,8.6,5.6,30.9,2.8,0.8,18.7,29.7,G,FR,isaiah-collier-2
136,Kellan Grady,31.2,35.2,33,24.7,.611,2017-18,Davidson,33,32,5.0,122,107,3.8,1.2,.173,4.8,0.0,4.8,21.4,2.6,8.8,5.8,11.3,1.4,0.3,6.2,24.7,G,FR,kellan-grady-1
137,Amadou Sow,31.2,23.7,32,26.4,.599,2018-19,UC Santa Barbara,32,31,3.4,113,98,2.0,1.4,.179,0.2,-0.8,-0.6,23.5,12.0,20.4,16.2,3.9,1.4,3.6,16.0,26.4,F,FR,amadou-sow-1
138,Cade Cunningham,31.2,35.4,27,29.1,.574,2020-21,Oklahoma State,27,26,4.0,106,97,2.3,1.7,.166,5.1,3.2,8.3,21.6,2.3,16.3,9.6,20.4,2.5,2.3,18.7,29.1,G,FR,cade-cunningham-1
139,Dimencio Vaughn,31.1,27.7,29,26.1,.595,2017-18,Rider,29,22,3.6,115,100,2.2,1.3,.177,3.5,0.8,4.3,24.9,9.4,16.3,12.7,7.4,3.5,3.1,14.9,26.1,G,FR,dimencio-vaughn-1
140,Andrew Rohde,31.1,32.9,31,28.4,.555,2022-23,St. Thomas,31,31,3.9,111,105,2.7,1.1,.151,3.2,-0.4,2.8,22.0,2.9,10.9,6.9,24.3,3.0,0.3,12.6,28.4,G,FR,andrew-rohde-1
141,Jaylen Brown,31.1,27.6,34,31.4,.518,2015-16,California,34,34,2.7,99,97,1.0,1.8,.117,1.1,2.5,3.6,17.6,4.4,16.6,10.8,15.3,1.7,2.2,17.9,31.4,F,FR,jaylen-brown-1
142,Drew Lowder,31.1,26.3,12,31.2,.543,2019-20,Holy Cross,12,6,0.4,98,117,0.4,-0.1,.045,2.2,-4.8,-2.6,17.5,1.1,8.6,4.7,30.6,1.8,0.0,18.4,31.2,G,FR,drew-lowder-1
143,Miles Bridges,31.0,32.0,28,27.3,.580,2016-17,Michigan State,28,27,3.6,108,97,1.8,1.7,.160,6.7,3.6,10.3,23.1,5.7,23.1,15.0,14.5,1.2,4.9,13.9,27.3,F,FR,miles-bridges-1
144,Damiyne Durham,31.0,22.1,32,27.6,.514,2015-16,Cal State Bakersfield,32,0,2.7,106,94,1.2,1.5,.153,3.5,0.0,3.5,18.0,2.8,13.7,8.3,6.9,2.7,0.7,7.6,27.6,G,FR,damiyne-durham-1
145,Julius Thedford,31.0,21.9,18,27.9,.545,2024-25,Western Kentucky,18,6,1.2,107,105,0.6,0.6,.121,2.4,0.0,2.4,18.0,2.6,15.5,9.0,8.5,1.5,1.8,9.7,27.9,G,FR,julius-thedford-1
146,Asa Newell,31.0,29.0,33,23.5,.612,2024-25,Georgia,33,33,5.2,131,104,3.8,1.4,.218,7.6,2.0,9.6,26.1,13.9,13.5,13.7,6.7,2.0,3.8,8.2,23.5,F,FR,asa-newell-1
147,Derik Queen,30.9,30.4,36,26.6,.591,2024-25,Maryland,36,36,5.9,117,92,3.1,2.8,.216,5.1,4.2,9.2,24.7,9.0,24.6,16.9,11.6,2.0,3.8,14.5,26.6,C,FR,derik-queen-1
148,Ali Abdou Dibba,30.9,26.0,5,26.0,.639,2021-22,Chicago State,5,2,0.3,107,112,0.3,0.0,.096,2.5,-1.8,0.7,19.8,4.3,9.2,6.7,2.0,2.8,0.9,21.1,26.0,G,FR,aliabdou-dibba-1
149,Sam Sessoms,30.9,34.3,33,32.7,.534,2018-19,Binghamton,33,32,1.3,95,111,0.7,0.6,.046,0.0,-3.9,-3.9,16.4,2.5,8.4,5.5,25.2,1.9,0.2,20.5,32.7,G,FR,sam-sessoms-1
150,Bryce Aiken,30.9,27.8,26,28.9,.553,2016-17,Harvard,26,9,2.4,106,103,1.4,1.0,.133,2.6,-0.9,1.7,17.1,1.8,7.1,4.6,22.1,1.7,0.0,15.8,28.9,G,FR,bryce-aiken-1
151,Hannes Steinbach,30.8,32.7,18,24.6,.595,2025-26,Washington,18,18,3.1,126,102,2.0,1.1,.209,7.3,2.4,9.8,26.6,15.0,23.8,19.5,10.3,1.9,3.5,11.1,24.6,F,FR,hannes-steinbach-1
152,Eric Paschall,30.8,31.2,27,29.5,.526,2014-15,Fordham,27,27,1.9,100,106,1.1,0.8,.089,2.1,-1.7,0.4,17.5,6.1,14.5,10.2,8.2,1.5,1.7,15.7,29.5,F,FR,eric-paschall-1
153,Rashawn Thomas,30.8,21.9,25,26.7,.600,2013-14,Texas A&M–Corpus Christi,25,0,1.8,106,102,0.9,0.8,.128,0.3,-0.2,0.1,22.9,9.3,19.8,14.7,5.3,1.8,7.2,17.9,26.7,F,FR,rashawn-thomas-1
154,Markeith Cummings,30.7,34.0,33,28.0,.536,2009-10,Kennesaw State,33,31,3.6,107,106,2.6,0.9,.127,,,,20.4,7.6,12.4,9.9,15.3,1.7,0.5,15.0,28.0,F,FR,markeith-cummings-1
155,Meleek Thomas,30.7,27.2,21,26.0,.550,2025-26,Arkansas,21,5,2.4,122,109,1.7,0.8,.169,5.5,2.4,7.8,20.4,4.1,10.4,7.4,17.5,3.0,0.4,6.7,26.0,G,FR,meleek-thomas-1
156,Jordan Watford,30.6,20.3,22,24.1,.659,2025-26,Queens (NC),22,8,2.0,133,122,1.9,0.1,.177,3.1,-1.6,1.5,22.8,5.0,9.2,7.1,35.4,1.3,1.0,16.4,24.1,G,FR,jordan-watford-1
157,Paolo Banchero,30.6,33.0,39,27.5,.557,2021-22,Duke,39,39,6.1,114,98,4.0,2.2,.191,5.4,2.3,7.7,24.2,6.4,19.1,13.2,17.5,1.9,2.7,13.3,27.5,F,FR,paolo-banchero-1
158,Ignas Brazdeikis,30.6,29.6,37,26.1,.573,2018-19,Michigan,37,37,5.5,113,91,2.8,2.7,.201,5.3,3.7,8.9,21.4,4.6,16.1,10.5,6.1,1.5,1.7,8.8,26.1,F,FR,ignas-brazdeikis-1
159,Karl-Anthony Towns,30.6,21.1,39,23.7,.627,2014-15,Kentucky,39,39,6.4,127,78,3.5,2.9,.311,6.6,7.6,14.3,31.4,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,F,FR,karl-anthony-towns-1
160,Malik Mack,30.6,33.2,24,29.2,.536,2023-24,Harvard,24,24,2.7,109,107,1.8,0.9,.133,2.7,-0.4,2.3,20.1,1.8,11.6,6.8,32.9,2.4,0.3,13.7,29.2,G,FR,malik-mack-1
161,All Wright,30.5,29.6,34,27.8,.524,2024-25,Valparaiso,34,31,2.8,110,112,1.9,0.8,.110,2.3,-1.5,0.8,17.2,1.8,6.9,4.2,17.7,1.7,0.8,8.4,27.8,G,FR,all-wright-1
162,Donnie Freeman,30.5,25.5,14,25.8,.591,2024-25,Syracuse,14,13,1.2,113,108,0.8,0.4,.135,4.1,0.8,4.8,21.5,4.9,31.2,18.1,11.2,0.8,1.5,13.6,25.8,F,FR,donnie-freeman-1
163,Dwayne Bacon,30.5,28.8,34,28.8,.521,2015-16,Florida State,34,32,2.9,105,105,1.7,1.2,.119,2.4,0.3,2.7,19.0,5.4,17.4,11.5,10.4,1.9,0.1,12.6,28.8,G,FR,dwayne-bacon-1
164,Charles Williams,30.5,30.0,34,27.9,.512,2016-17,Howard,34,25,2.3,105,111,1.7,0.6,.091,1.0,-3.0,-2.0,15.8,3.5,5.7,4.6,5.5,1.1,1.3,9.9,27.9,G,FR,charles-williams-5
165,Vasean Allette,30.4,32.2,19,29.5,.513,2023-24,Old Dominion,19,18,1.5,103,106,0.8,0.7,.101,2.3,0.0,2.2,20.3,3.2,16.2,9.5,22.2,3.2,0.0,11.8,29.5,G,FR,vasean-allette-1
166,Jayden Gardner,30.4,30.6,31,27.4,.567,2018-19,East Carolina,31,31,3.5,111,105,2.4,1.1,.148,2.9,-1.4,1.4,23.0,10.8,20.8,15.7,9.7,1.4,1.7,14.4,27.4,F,FR,jayden-gardner-1
167,Devin Cannady,30.4,22.0,29,22.3,.677,2015-16,Princeton,29,0,3.6,131,99,2.5,1.1,.224,5.7,1.4,7.1,23.7,3.5,9.3,6.5,10.8,2.8,0.8,11.7,22.3,G,FR,devin-cannady-1
168,AJ Green,30.4,29.9,34,31.2,.522,2018-19,Northern Iowa,34,34,2.0,96,104,0.7,1.3,.079,0.7,-1.8,-1.0,15.0,1.5,11.0,6.2,19.7,1.3,0.2,16.2,31.2,G,FR,aj-green-1
169,Jalen Johnson,30.4,21.4,13,28.6,.575,2020-21,Duke,13,8,1.1,104,95,0.6,0.5,.162,4.3,4.2,8.5,25.8,8.3,25.2,16.6,20.5,3.1,6.0,20.6,28.6,F,FR,jalen-johnson-24
170,De'Aaron Fox,30.4,29.6,36,27.5,.549,2016-17,Kentucky,36,34,5.1,114,97,3.1,2.1,.192,4.3,3.9,8.2,22.7,2.1,12.2,7.2,28.6,2.7,0.7,13.7,27.5,G,FR,deaaron-fox-1
171,QJ Peterson,30.4,32.9,35,27.8,.516,2013-14,VMI,35,35,3.7,110,108,2.6,1.1,.128,0.4,-2.0,-1.6,20.2,5.3,11.3,8.3,10.9,2.7,0.9,10.6,27.8,G,FR,qj-peterson-1
172,Thomas Bryant,30.4,22.6,35,22.1,.704,2015-16,Indiana,35,35,4.4,130,100,3.1,1.3,.222,5.3,2.3,7.6,26.6,11.1,19.1,15.3,8.1,1.2,4.1,16.4,22.1,C,FR,thomas-bryant-1
173,Airious Bailey,30.4,33.3,30,27.5,.536,2024-25,Rutgers,30,30,2.8,108,109,1.7,1.1,.112,3.7,0.8,4.5,19.9,7.0,17.5,12.2,8.3,1.7,4.1,11.0,27.5,G,FR,airious-bailey-1
174,Andrew Wiggins,30.3,32.8,35,26.3,.563,2013-14,Kansas,35,35,4.9,116,103,3.2,1.7,.170,5.7,2.6,8.3,21.4,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,G,FR,andrew-wiggins-1
175,Terquavion Smith,30.3,31.6,32,27.5,.522,2021-22,NC State,32,25,2.8,108,111,2.3,0.5,.111,5.1,-0.1,5.1,19.8,3.1,12.3,7.4,14.7,2.4,1.6,9.8,27.5,G,FR,terquavion-smith-1
176,David Jenkins Jr.,30.3,29.5,35,26.4,.574,2017-18,South Dakota State,35,21,3.5,112,107,2.4,1.1,.135,1.0,-1.4,-0.4,17.6,1.1,10.4,6.0,10.4,0.7,0.0,10.7,26.4,G,FR,david-jenkinsjr-1
177,Stefan Moody,30.3,31.3,29,29.0,.544,2012-13,Florida Atlantic,29,20,2.6,103,104,1.7,0.8,.114,1.4,-2.0,-0.6,18.4,2.5,13.2,7.8,18.0,1.4,1.0,17.9,29.0,G,FR,stefan-moody-1
178,Onyeka Okongwu,30.2,30.6,28,23.6,.645,2019-20,Southern California,28,28,5.4,123,88,3.2,2.1,.251,6.7,4.9,11.6,31.1,12.4,18.4,15.5,8.4,2.3,9.8,13.7,23.6,F,FR,onyeka-okongwu-1
179,Stan Okoye,30.2,21.9,29,26.4,.562,2009-10,VMI,29,10,1.9,110,110,1.6,0.3,.120,,,,24.3,9.9,18.9,14.0,4.3,1.7,5.0,11.6,26.4,F,FR,stan-okoye-1
180,Kenneth Lofton Jr.,30.2,22.8,32,28.1,.580,2020-21,Louisiana Tech,32,28,3.8,107,88,1.8,2.0,.206,2.6,2.5,5.1,25.8,12.2,23.7,18.0,14.4,2.6,3.5,18.9,28.1,F,FR,kenneth-loftonjr-1
181,Allonzo Trier,30.2,28.0,27,24.9,.603,2015-16,Arizona,27,21,3.2,117,101,2.1,1.1,.170,3.9,1.8,5.7,18.7,2.0,10.9,6.7,7.6,1.1,0.8,13.6,24.9,G,FR,allonzo-trier-1
182,Tim Kempton,30.2,26.4,32,29.9,.551,2013-14,Lehigh,32,31,2.0,98,102,0.7,1.3,.095,-2.4,-1.0,-3.4,18.4,10.6,20.1,15.5,6.9,1.6,1.4,19.2,29.9,C,FR,tim-kempton-2
183,Josh Okogie,30.2,30.8,37,27.6,.549,2016-17,Georgia Tech,37,37,4.5,108,97,2.3,2.2,.158,2.7,3.0,5.7,20.7,5.6,13.5,9.8,12.1,2.4,2.5,12.4,27.6,G,FR,josh-okogie-1
184,Jordan Ellerbee,30.1,25.3,22,24.1,.615,2025-26,Florida Gulf Coast,22,12,1.9,121,116,1.5,0.4,.134,3.0,-1.9,1.1,19.0,5.0,10.2,7.5,14.8,2.0,0.2,13.4,24.1,G,FR,jordan-ellerbee-1
185,Trevon Lewis,30.1,24.4,28,28.2,.552,2011-12,Nicholls State,28,13,1.6,103,110,1.3,0.3,.093,0.5,-2.4,-1.9,21.4,7.4,20.0,13.3,10.6,2.3,3.1,14.9,28.2,F,FR,trevon-lewis-1
186,Cole Anthony,30.1,34.9,22,30.0,.501,2019-20,North Carolina,22,20,2.1,100,102,1.2,0.9,.108,3.3,1.8,5.1,17.5,1.4,16.4,8.7,24.1,2.1,0.9,15.9,30.0,G,FR,cole-anthony-1
187,Ben Simmons,30.1,34.9,33,26.4,.600,2015-16,Louisiana State,33,32,6.0,117,98,3.9,2.1,.207,7.0,3.3,10.3,29.0,9.6,26.8,18.2,27.4,3.1,2.5,17.4,26.4,F,FR,ben-simmons-1
188,Cameron Payne,30.1,32.7,34,29.4,.526,2013-14,Murray State,34,34,4.0,108,104,2.5,1.5,.145,2.7,0.2,2.9,20.5,1.1,11.3,6.3,34.2,3.0,1.7,16.8,29.4,G,FR,cameron-payne-1
189,Matas Deniusas,30.1,25.1,21,27.2,.545,2025-26,UT Martin,21,21,2.2,111,96,0.9,1.3,.170,0.6,-0.4,0.2,18.3,8.8,13.8,11.4,14.0,1.3,5.0,15.5,27.2,F,FR,matas-deniusas-1
190,Karon Abraham,30.1,26.8,35,23.7,.629,2009-10,Robert Morris,35,24,4.3,121,103,3.2,1.0,.182,,,,19.8,2.8,6.7,4.7,12.9,1.5,0.5,14.2,23.7,G,FR,karon-abraham-1
191,Mahamadou Diawara,30.1,26.0,33,28.1,.601,2019-20,Stetson,33,31,2.7,104,103,1.8,0.9,.125,-1.2,-2.8,-4.0,22.0,15.0,15.5,15.3,6.8,1.3,2.9,22.3,28.1,F,FR,mahamadou-diawara-1
192,Terrence Jones,30.1,31.5,38,28.2,.512,2010-11,Kentucky,38,35,5.9,109,90,3.1,2.8,.199,4.2,3.9,8.1,25.5,9.0,22.1,15.8,10.3,2.2,6.0,11.4,28.2,F,FR,terrence-jones-1
193,Lauri Markkanen,30.0,30.8,37,22.5,.635,2016-17,Arizona,37,37,6.7,134,100,4.8,1.8,.235,7.9,1.5,9.4,25.0,10.0,17.5,14.0,5.6,0.8,1.8,8.1,22.5,F,FR,lauri-markkanen-1
194,Jordyn Adams,30.0,33.2,33,27.6,.535,2019-20,Austin Peay,33,31,3.5,108,106,2.6,0.9,.128,1.8,-2.2,-0.4,18.2,2.8,8.8,5.7,12.7,1.6,0.9,13.0,27.6,G,FR,jordyn-adams-1
195,Joshua Smith,30.0,21.7,33,25.8,.576,2010-11,UCLA,33,15,3.6,115,96,2.3,1.3,.199,4.1,1.9,5.9,26.2,19.4,14.5,16.8,7.0,2.3,4.5,14.3,25.8,C,FR,joshua-smith-1
196,TJ Robinson,30.0,20.9,18,28.8,.504,2025-26,Saint Peter's,18,3,1.2,108,105,0.6,0.6,.127,-1.1,-1.4,-2.6,16.6,2.8,9.0,5.7,27.9,2.9,0.0,14.6,28.8,G,FR,tj-robinson-3
197,Isaiah Stewart,30.0,32.2,32,24.5,.629,2019-20,Washington,32,32,5.7,120,94,3.7,2.0,.222,5.0,2.4,7.4,26.9,10.7,19.5,15.5,6.3,0.9,7.0,14.1,24.5,F,FR,isaiah-stewart-2
198,Ray Lee,30.0,21.7,36,30.2,.505,2013-14,Eastern Michigan,36,29,1.7,96,100,0.4,1.3,.088,-0.7,-0.2,-0.9,14.9,1.6,5.5,3.6,18.7,2.5,0.5,16.4,30.2,G,FR,ray-lee-2
199,Khalil Ahmad,30.0,27.3,30,27.1,.543,2015-16,Cal State Fullerton,30,20,2.6,109,107,1.7,0.8,.126,2.8,-0.9,1.9,19.4,3.0,14.8,8.8,14.3,1.7,0.8,12.2,27.1,G,FR,khalil-ahmad-1
200,Kyle Vinales,30.0,34.7,29,29.3,.513,2011-12,Central Connecticut State,29,29,2.4,102,108,1.8,0.6,.097,1.6,-2.3,-0.7,16.8,1.1,6.3,3.5,24.1,2.0,0.2,14.9,29.3,G,FR,kyle-vinales-1
201,Melo Trimble,30.0,33.5,35,25.0,.628,2014-15,Maryland,35,35,6.1,121,99,4.2,1.9,.206,5.2,2.7,7.9,22.8,0.7,11.9,6.8,21.2,2.3,0.2,16.0,25.0,G,FR,melo-trimble-1
202,Graham Ike,29.9,21.3,12,26.4,.623,2020-21,Wyoming,12,7,0.8,107,105,0.6,0.2,.128,-1.0,-1.1,-2.0,20.6,6.7,23.2,14.8,8.1,1.3,1.6,18.3,26.4,F,FR,graham-ike-1
203,DeSean Murray,29.9,33.1,20,28.5,.540,2014-15,Presbyterian,20,20,2.0,105,106,1.4,0.6,.119,2.1,-2.0,0.2,24.1,13.5,16.5,15.1,12.3,2.9,1.9,15.7,28.5,F,FR,desean-murray-1
204,Isaiah Canaan,29.9,20.4,36,23.9,.643,2009-10,Murray State,36,0,4.0,120,93,2.4,1.5,.216,,,,21.0,2.1,10.4,6.6,14.9,2.5,0.1,17.1,23.9,G,FR,isaiah-canaan-1
205,Andrew Alekseyenko,29.9,28.7,22,27.1,.579,2025-26,Colgate,22,22,2.1,112,109,1.2,0.8,.132,1.5,-1.6,-0.1,19.7,8.2,17.8,13.2,15.8,1.7,0.5,15.4,27.1,F,FR,andrew-alekseyenko-1
206,Jamier Jones,29.9,23.3,20,21.6,.695,2025-26,Providence,20,8,1.9,132,116,1.6,0.3,.165,5.7,0.8,6.5,22.6,6.5,13.5,10.3,12.0,2.0,0.7,13.2,21.6,F,FR,jamier-jones-1
207,Will Rayman,29.9,29.4,32,27.4,.567,2016-17,Colgate,32,26,2.5,105,107,1.6,0.9,.106,1.3,-1.8,-0.5,17.7,5.9,13.6,9.8,8.1,1.4,1.7,14.4,27.4,F,FR,will-rayman-1
208,Zeke Nnaji,29.9,30.7,32,24.1,.630,2019-20,Arizona,32,32,5.6,121,92,3.5,2.1,.229,5.6,2.3,8.0,25.7,11.5,20.3,15.9,5.8,1.3,3.3,14.6,24.1,F,FR,zeke-nnaji-1
209,Issac Vann,29.8,28.3,17,26.6,.571,2015-16,Maine,17,16,1.5,111,108,1.1,0.4,.128,2.5,-0.6,1.8,22.2,6.3,16.4,11.0,12.3,2.9,2.7,13.8,26.6,F,FR,issac-vann-1
210,Troy Huff,29.8,26.3,34,29.9,.513,2010-11,North Dakota,34,22,2.5,98,98,1.0,1.4,.110,0.2,-1.9,-1.7,19.4,7.4,13.0,10.2,11.4,2.7,1.3,14.6,29.9,G,FR,troy-huff-1
211,Rayshon Harrison,29.8,34.7,20,29.0,.508,2020-21,Presbyterian,20,20,2.4,104,100,1.3,1.0,.136,2.2,-1.6,0.6,19.5,4.7,15.9,9.9,18.2,2.4,1.3,13.5,29.0,G,FR,rayshon-harrison-1
212,Josh Jackson,29.8,30.8,35,27.2,.559,2016-17,Kansas,35,35,4.9,111,96,2.7,2.2,.180,5.7,4.2,9.9,24.2,8.7,17.5,13.3,18.2,3.1,3.5,15.9,27.2,G,FR,josh-jackson-2
213,Zeek Woodley,29.8,24.1,31,21.6,.663,2013-14,Northwestern State,31,24,3.1,129,110,2.6,0.6,.168,3.3,-2.5,0.8,23.3,7.8,11.8,9.8,5.3,0.8,3.1,10.5,21.6,G,FR,zikiteran-woodley-1
214,Joe Cremo,29.8,20.7,33,23.2,.637,2015-16,Albany (NY),33,1,3.8,126,97,2.5,1.3,.225,4.7,1.0,5.7,24.4,5.3,15.3,10.5,14.1,2.0,1.0,14.0,23.2,G,FR,joe-cremo-1
215,Emmett Adair,29.7,22.1,17,27.7,.535,2025-26,Loyola (MD),17,5,0.8,107,113,0.5,0.3,.090,-1.7,-4.7,-6.4,17.0,12.2,12.8,12.5,10.8,0.9,1.5,13.8,27.7,F,FR,emmett-adair-1
216,Grant Golden,29.7,30.7,32,29.3,.537,2017-18,Richmond,32,32,1.9,100,109,1.1,0.8,.077,1.2,-0.9,0.3,19.6,6.0,21.7,13.7,16.0,1.1,4.4,15.0,29.3,F,FR,grant-golden-1
217,Kevair Kennedy,29.7,35.4,22,28.3,.566,2025-26,Merrimack,22,22,2.2,108,109,1.2,1.0,.114,0.8,-1.2,-0.4,18.9,3.9,11.1,7.6,27.6,2.9,0.3,17.9,28.3,G,FR,kevair-kennedy-1
